index,I1_D0_Col0_1,I1_D0_Col0_2,I1_D0_Col0_3,I1_D0_Col0_4,I1_D0_Col0_5,I1_D0_mfec_1,I1_D0_mfec_2,I1_D0_mfec_3,I1_D0_mfec_4,I1_D0_mfec_5,I1_D5_Col0_1,I1_D5_Col0_2,I1_D5_Col0_3,I1_D5_Col0_4,I1_D5_Col0_5,I1_D5_mfec_1,I1_D5_mfec_2,I1_D5_mfec_3,I1_D5_mfec_4,I1_D5_mfec_5,I1_D6_Syncom_Col0_1,I1_D6_Syncom_Col0_2,I1_D6_Syncom_Col0_3,I1_D6_Syncom_Col0_4,I1_D6_Syncom_Col0_5,I1_D6_Syncom_fec_1,I1_D6_Syncom_fec_2,I1_D6_Syncom_fec_3,I1_D6_Syncom_fec_4,I1_D6_Syncom_fec_5,I1_D6_Syncom_mfec_1,I1_D6_Syncom_mfec_2,I1_D6_Syncom_mfec_3,I1_D6_Syncom_mfec_4,I1_D6_Syncom_mfec_5,I1_D6_Syncom_min7_1,I1_D6_Syncom_min7_2,I1_D6_Syncom_min7_3,I1_D6_Syncom_min7_4,I1_D6_Syncom_min7_5,I1_NS_D0_Col0_1,I1_NS_D0_Col0_2,I1_NS_D0_Col0_3,I1_NS_D0_Col0_4,I1_NS_D0_Col0_5,I1_NS_D0_mfec_1,I1_NS_D0_mfec_2,I1_NS_D0_mfec_3,I1_NS_D0_mfec_4,I1_NS_D0_mfec_5,I1_NS_D5_Col0_1,I1_NS_D5_Col0_2,I1_NS_D5_Col0_3,I1_NS_D5_Col0_4,I1_NS_D5_Col0_5,I1_NS_D5_mfec_1,I1_NS_D5_mfec_2,I1_NS_D5_mfec_3,I1_NS_D5_mfec_4,I1_NS_D5_mfec_5,I2_D0_Col0_1,I2_D0_Col0_2,I2_D0_Col0_3,I2_D0_Col0_4,I2_D0_Col0_5,I2_D0_mfec_1,I2_D0_mfec_2,I2_D0_mfec_3,I2_D0_mfec_4,I2_D0_mfec_5,I2_D5_Col0_1,I2_D5_Col0_2,I2_D5_Col0_3,I2_D5_Col0_4,I2_D5_Col0_5,I2_D5_mfec_1,I2_D5_mfec_2,I2_D5_mfec_3,I2_D5_mfec_4,I2_D5_mfec_5,I2_D6_Syncom_Col0_1,I2_D6_Syncom_Col0_2,I2_D6_Syncom_Col0_3,I2_D6_Syncom_Col0_4,I2_D6_Syncom_Col0_5,I2_D6_Syncom_fec_1,I2_D6_Syncom_fec_2,I2_D6_Syncom_fec_3,I2_D6_Syncom_fec_4,I2_D6_Syncom_fec_5,I2_D6_Syncom_mfec_1,I2_D6_Syncom_mfec_2,I2_D6_Syncom_mfec_3,I2_D6_Syncom_mfec_4,I2_D6_Syncom_mfec_5,I2_D6_Syncom_min7_1,I2_D6_Syncom_min7_2,I2_D6_Syncom_min7_3,I2_D6_Syncom_min7_4,I2_D6_Syncom_min7_5,I2_NS_D0_Col0_1,I2_NS_D0_Col0_2,I2_NS_D0_Col0_3,I2_NS_D0_Col0_4,I2_NS_D0_Col0_5,I2_NS_D0_mfec_1,I2_NS_D0_mfec_2,I2_NS_D0_mfec_3,I2_NS_D0_mfec_4,I2_NS_D0_mfec_5,I2_NS_D5_Col0_1,I2_NS_D5_Col0_2,I2_NS_D5_Col0_3,I2_NS_D5_Col0_4,I2_NS_D5_Col0_5,I2_NS_D5_mfec_1,I2_NS_D5_mfec_2,I2_NS_D5_mfec_3,I2_NS_D5_mfec_4,I2_NS_D5_mfec_5,I3_D0_Col0_1,I3_D0_Col0_2,I3_D0_Col0_3,I3_D0_Col0_4,I3_D0_Col0_5,I3_D0_mfec_1,I3_D0_mfec_2,I3_D0_mfec_3,I3_D0_mfec_4,I3_D0_mfec_5,I3_D5_Col0_1,I3_D5_Col0_2,I3_D5_Col0_3,I3_D5_Col0_4,I3_D5_Col0_5,I3_D5_mfec_1,I3_D5_mfec_2,I3_D5_mfec_3,I3_D5_mfec_4,I3_D5_mfec_5,I3_D6_Syncom_Col0_1,I3_D6_Syncom_Col0_2,I3_D6_Syncom_Col0_3,I3_D6_Syncom_Col0_4,I3_D6_Syncom_Col0_5,I3_D6_Syncom_fec_1,I3_D6_Syncom_fec_2,I3_D6_Syncom_fec_3,I3_D6_Syncom_fec_4,I3_D6_Syncom_fec_5,I3_D6_Syncom_mfec_1,I3_D6_Syncom_mfec_2,I3_D6_Syncom_mfec_3,I3_D6_Syncom_mfec_4,I3_D6_Syncom_mfec_5,I3_D6_Syncom_min7_1,I3_D6_Syncom_min7_2,I3_D6_Syncom_min7_3,I3_D6_Syncom_min7_4,I3_D6_Syncom_min7_5,I3_NS_D0_Col0_1,I3_NS_D0_Col0_2,I3_NS_D0_Col0_3,I3_NS_D0_Col0_4,I3_NS_D0_Col0_5,I3_NS_D0_mfec_1,I3_NS_D0_mfec_2,I3_NS_D0_mfec_3,I3_NS_D0_mfec_4,I3_NS_D0_mfec_5,I3_NS_D5_Col0_1,I3_NS_D5_Col0_2,I3_NS_D5_Col0_3,I3_NS_D5_Col0_4,I3_NS_D5_Col0_5,I3_NS_D5_mfec_1,I3_NS_D5_mfec_2,I3_NS_D5_mfec_3,I3_NS_D5_mfec_4,I3_NS_D5_mfec_5,I4_D6_Syncom_Col0_1,I4_D6_Syncom_Col0_2,I4_D6_Syncom_Col0_3,I4_D6_Syncom_Col0_4,I4_D6_Syncom_Col0_5,I4_D6_Syncom_fec_1,I4_D6_Syncom_fec_2,I4_D6_Syncom_fec_3,I4_D6_Syncom_fec_4,I4_D6_Syncom_fec_5,I4_D6_Syncom_mfec_1,I4_D6_Syncom_mfec_2,I4_D6_Syncom_mfec_3,I4_D6_Syncom_mfec_4,I4_D6_Syncom_mfec_5,I4_D6_Syncom_min7_1,I4_D6_Syncom_min7_2,I4_D6_Syncom_min7_3,I4_D6_Syncom_min7_4,I4_D6_Syncom_min7_5,I4_NS_D0_Col0_1,I4_NS_D0_Col0_2,I4_NS_D0_Col0_3,I4_NS_D0_Col0_4,I4_NS_D0_Col0_5,I4_NS_D0_mfec_1,I4_NS_D0_mfec_2,I4_NS_D0_mfec_3,I4_NS_D0_mfec_4,I4_NS_D0_mfec_5,I4_NS_D5_Col0_1,I4_NS_D5_Col0_2,I4_NS_D5_Col0_3,I4_NS_D5_Col0_4,I4_NS_D5_Col0_5,I4_NS_D5_mfec_1,I4_NS_D5_mfec_2,I4_NS_D5_mfec_3,I4_NS_D5_mfec_4,I4_NS_D5_mfec_5,I5_D0_Col0_1,I5_D0_Col0_2,I5_D0_Col0_3,I5_D0_Col0_4,I5_D0_Col0_5,I5_D0_mfec_1,I5_D0_mfec_2,I5_D0_mfec_3,I5_D0_mfec_4,I5_D0_mfec_5,I5_D5_Col0_1,I5_D5_Col0_2,I5_D5_Col0_3,I5_D5_Col0_4,I5_D5_Col0_5,I5_D5_mfec_1,I5_D5_mfec_2,I5_D5_mfec_3,I5_D5_mfec_4,I5_D5_mfec_5,I5_D6_Syncom_Col0_1,I5_D6_Syncom_Col0_2,I5_D6_Syncom_Col0_3,I5_D6_Syncom_Col0_4,I5_D6_Syncom_Col0_5,I5_D6_Syncom_fec_1,I5_D6_Syncom_fec_2,I5_D6_Syncom_fec_3,I5_D6_Syncom_fec_4,I5_D6_Syncom_fec_5,I5_D6_Syncom_mfec_1,I5_D6_Syncom_mfec_2,I5_D6_Syncom_mfec_3,I5_D6_Syncom_mfec_4,I5_D6_Syncom_mfec_5,I5_D6_Syncom_min7_1,I5_D6_Syncom_min7_2,I5_D6_Syncom_min7_3,I5_D6_Syncom_min7_4,I5_D6_Syncom_min7_5
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,0,0,0,0,0,0,0,0.011661808,0,0,0,0,0.012054002,0.007809727,0.001263538,0.000391185,3.75E-05,1.79E-05,0.009496987,0.004146797,0.000333389,0,0.000515292,0.000331345,0,0.001236476,0,0.000125057,0,0,0.000102701,0.000172921,0.000128235,0,0,0,0.000546986,0,0,0,0,0,0,0,0,0,0.054532824,0,0.000940115,0.068100591,0.009235257,0.007197974,0.012122928,0.022341106,0.003425117,0.009320717,0.009813275,0.009986343,0.007889573,0.020246491,0,0.000968054,0,0,0,0,0,0,0.002741459,0.00438247,0.012203074,0.003934942,0.003422313,0.006014607,0.015021983,2.25E-05,0,0,0.000111811,7.35E-06,0,0,0,0,0,0,0,0,0,0,0,4.79E-05,0,0,0,0,0.00070028,0.000163194,0.000530035,0.000287797,0,0.013245033,0,0.00562226,0.005030181,0.027457962,0.01018574,0.007035176,0.011583012,0.023485068,0.020975906,0.021911289,0.014463179,0.034977118,0.015696306,0.013795299,0.026139189,0.03459533,0.012812461,0.026626264,0,0,0,0,0.003146633,0,0,0,0,0,0.005147932,0.010052448,0.004445919,0.011381064,0.001151079,0.000361517,0.000382123,9.50E-05,5.10E-05,0.009268325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003841229,0.012542759,0,0,0.012121212,0,0,0.04519774,0.024961793,0,0.006312591,0.002099464,0.007980395,0.007181403,0.00752292,0.002901771,0.011163395,0.004960374,0.011249426,0.013218598,0,0.001383561,0.001767131,0.001588637,0.000600135,0.000623993,0.001272996,0.000254701,0.000149751,0.001967374,0,0,0,4.00E-05,0,0.000236483,0.000268649,0,0,0,0.011146497,0,0,0,0.008254717,0,0.004081633,0.039451115,0,0.027210884,0.006339171,0.014140615,0.005850645,0.017691304,0.020211822,0.015000568,0.028193496,0.014496604,0.010986389,0.0111782,0.008760403,0,0,0,0,0,0,0.073811214,0,0.006306938,0.016873706,0,0.051834595,0.021876094,0.05088242,0.008939822,0.005848392,0.000100713,0.000530215,0.000354773,0,0,0,0,0,0.000935046,9.30E-05,0,0,0.004868595,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,0,0,0,0,0,0,0,0.011661808,0,0,0,0,0.012054002,0.007809727,0.001263538,0.000391185,3.75E-05,1.79E-05,0.009496987,0.004146797,0.000333389,0,0.000515292,0.000331345,0,0.001236476,0,0.000125057,0,0,0.000102701,0.000172921,0.000128235,0,0,0,0.000546986,0,0,0,0,0,0,0,0,0,0.054532824,0,0.000940115,0.068100591,0.009235257,0.007197974,0.012122928,0.022341106,0.003425117,0.009320717,0.009813275,0.009986343,0.007889573,0.020246491,0,0.000968054,0,0,0,0,0,0,0.002741459,0.00438247,0.012203074,0.003934942,0.003422313,0.006014607,0.015021983,2.25E-05,0,0,0.000111811,7.35E-06,0,0,0,0,0,0,0,0,0,0,0,4.79E-05,0,0,0,0,0.00070028,0.000163194,0.000530035,0.000287797,0,0.013245033,0,0.00562226,0.005030181,0.027457962,0.01018574,0.007035176,0.011583012,0.023485068,0.020975906,0.021885281,0.014463179,0.03493662,0.015648933,0.013795299,0.026139189,0.03459533,0.012812461,0.026626264,0,0,0,0,0.003146633,0,0,0,0,0,0.005147932,0.010052448,0.004445919,0.011381064,0.001151079,0.000361517,0.000382123,9.50E-05,5.10E-05,0.009268325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003841229,0.012542759,0,0,0.012121212,0,0,0.04519774,0.024961793,0,0.006312591,0.002032281,0.007980395,0.00705687,0.00752292,0.002874223,0.011163395,0.00494612,0.011236672,0.013218598,0,0.001383561,0.001767131,0.001588637,0.000600135,0.000623993,0.001272996,0.000254701,0.000149751,0.001967374,0,0,0,4.00E-05,0,0.000236483,0.000268649,0,0,0,0.011146497,0,0,0,0.008254717,0,0.004081633,0.039451115,0,0.027210884,0.006339171,0.014140615,0.005850645,0.017691304,0.020211822,0.015000568,0.028161699,0.014496604,0.010936166,0.0111782,0.008760403,0,0,0,0,0,0,0.073811214,0,0.006306938,0.016873706,0,0.051834595,0.021876094,0.05088242,0.008939822,0.005848392,0.000100713,0.000530215,0.000354773,0,0,0,0,0,0.000935046,9.30E-05,0,0,0.004868595,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070028,0.000163194,0.000530035,0.000287797,0,0,0,0,0,0.000672601,0.008224849,0,0,0.000773171,6.07E-05,0,0,0.000877465,4.74E-05,8.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942566,0.000166044,0.00282932,0.00029385,2.45E-05,0.000199555,0.000663231,0.001106731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93E-05,3.79E-05,0.000381566,3.47E-05,0,0.000426478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,0,0,0,0,0,0,0,0,0,0,0,0,0.00208936,0.002129925,0.000541516,0,0,0,0.008842023,0.004146797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05036471,0,0.000940115,0.000649815,0.004661229,0.006437212,0.010995566,0.020027926,0.001942077,0.008572479,0.008922811,0.008663983,0.007538925,0.008942143,0,0.000968054,0,0,0,0,0,0,0.002741459,0.00438247,0.011644155,0.002623295,0.002509697,0.004582558,0.014289204,2.25E-05,0,0,0.000111811,7.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013245033,0,0.001524681,0,0.026152324,0.001960891,0,0.011583012,0.022132019,0.016845515,0.013146773,0.009920162,0.029064352,0.014148783,0.012468828,0.024070937,0.032759012,0.009483733,0.025061474,0,0,0,0,0.003146633,0,0,0,0,0,0.003224529,0.001602564,0.00398142,0.009928162,0,0.000348606,0.000382123,9.50E-05,5.10E-05,0.005352131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006841505,0,0,0.006060606,0,0,0.04519774,0.024961793,0,0.005939637,0.001797141,0.00682418,0.006517227,0.004386542,0.002314071,0.010967331,0.004604025,0.010037753,0.01197508,0,0,0.000589044,0,0.000575129,0.000259997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0.008254717,0,0.004081633,0,0,0.027210884,0.003428839,0.009959174,0.002554089,0.014570771,0.015900521,0.012424713,0.023487514,0.010846463,0.009680579,0.009494736,0.008760403,0,0,0,0,0,0,0.073811214,0,0,0.010144928,0,0.040768783,0.015575779,0.04881962,0.003793456,0.005848392,5.87E-05,0.000176738,0.00026434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.009964642,0.005679801,0.000722022,0,3.75E-05,0,0.000392979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067450777,0.003805085,0.000535041,3.03E-05,0.001101914,0.00030367,3.87E-05,1.00E-04,0.001054997,0,0.011071551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409758,0.005030181,0,0,0,0,0,0,0,0,0,0,0,0,0.000294718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317701,0,0.000125676,0,0,3.67E-05,0,4.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039451115,0,0,0,0,0,0,9.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003830228,0,0.011065812,0.006125306,0.002062801,0.005146366,0,4.20E-05,0.000176738,9.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72E-05,0,0.000311333,0.000131596,0.000156108,9.80E-05,1.43E-05,0.000242335,0.000124352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056964224,0,0,0,0,0,0.000126386,0,9.89E-05,0,0,9.39E-05,0,4.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001384768,0.012473446,0,0,0.001256403,0,0.000143041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003005086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267288,0,2.77E-05,0,0,0,0,6.73E-05,0,0,0,0,0,0,0,0,0,0,0.001552795,0.002579166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,0.035714286,0,0,0.005865851,0,0,0,0,0,0,0.030092593,0.159793814,0.004660881,0.019524317,0.042779783,0,6.09E-05,0.000196942,0.000458475,0,0.119919987,0.118287329,0.109817829,0.172432074,0.119141769,0.28568779,0.018576826,0.229355121,0.140509725,0.009060693,0.027920011,0.009208024,0.013522966,0.027295994,0.007693657,0.233294529,0.152937315,0.298314059,0.006830601,0.171033119,0.002411091,0.037190863,0.003630555,0.003588907,0.031000886,0.001121635,0.087530392,0,0.036288427,0.034830073,0.058114739,0.012966384,0.024210468,0.027480569,0.013968828,0.013126407,0.017364045,0.017617007,0.016885035,0.021800753,0,0,0.02027027,0,0,0.034587996,0,0.014522822,0.005061156,0,0.00950163,0.027544596,0.054300707,0.052771015,0.061187103,0,0,0.001411639,0.002884712,1.84E-05,0.502835539,0.328721268,0.482606419,0.460046442,0.579896203,0.241851816,0.161363351,0.200384615,0.306837607,0.322876817,0.079485968,0.003445965,0.133912522,0.003828275,0.003203992,0.21482061,0.262838469,0.170646793,0.535159011,0.146968534,0.047640449,0.072847682,0.043478261,0.03440061,0.033199195,0.137922849,0.213573724,0.207035176,0.127413127,0.140040591,0.135553756,0.132872134,0.083665991,0.134238698,0.100715335,0.07546736,0.076767366,0.074200861,0.118326843,0.122873252,0,0,0.008733624,0.022235948,0.002202643,0,0.007899934,0.026352288,0.00405515,0.011061947,0.019234033,0.024184149,0.020172528,0.026313665,0.040719424,0.005379722,0.003541982,0.001657788,0.002355282,0.0296978,0.086581906,0.099928927,0.033741368,0.089158644,0.047216936,0.046075085,0.04574052,0.014262687,0.044444444,0.022414236,0.011623151,0.00337685,0.006417508,0.002005299,0,0.013739946,0.01499837,0.019941987,0.038073908,0.034383954,0.012804097,0.017103763,0.006644518,0.032015066,0.014545455,0.023883697,0,0.04519774,0.070809985,0.050314465,0.035154361,0.026839551,0.038419002,0.070485679,0.069088038,0.037704662,0.054432272,0.037687439,0.069588286,0.041856821,0.175658832,0.124017357,0.099155704,0.075320064,0.157835513,0.019863762,0.129558147,0.242348347,0.044476059,0.069022051,0.002256566,0.000856515,0.000276233,0.000629629,0.004491529,0.078985486,0.055878929,0.117170466,0.067411546,0.094266127,0.362261146,0.151750973,0.04491018,0.074534161,0.041273585,0.02378687,0.025510204,0.036020583,0.053921569,0.06122449,0.081807082,0.186568535,0.162258884,0.129234786,0.100767994,0.121879617,0.135731547,0.131439726,0.091369092,0.103387129,0,0,0,0,0.01369863,0,0.093711467,0,0,0.004555011,0.070186335,0.010173377,0.032032615,0.006475324,0.020169608,0.008754128,0.002324361,0.000193032,0.001487547,0.000243471,0.041252194,0.00614632,0.151266417,0.191402908,0.134279476,0.095561651,0.023540358,0.150062716,0.109426711,0.042352051,0.055993766,0.016787326,0.03522675,0.150219098,0.040816327,0.007865522,0.038810581,0.054518767,0.038801572,0.031655587
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001833601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0.00176792,0,0.000361011,0,0,0,0,0,0,0.003307475,0.000181868,0,0,0.002905719,0,0,0,0,0,0.000237766,0,0,0,0,0,0,0,0,0.000904159,0.015102888,0,0.00228385,0.030336581,0,0.040986454,0,0.00065808,0.024757944,0.002964795,0.000668801,0.000829091,0.001648666,0.001094625,0.000961098,0.000935896,0.001177839,0.000701295,0.001054433,0,0,0,0,0,0,0,0,0.000843526,0,0.000558919,0.003934942,0.00159708,0.001646857,0,0,0,5.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640449,0.039735099,0,0.001048218,0.009054326,0.094915925,0.075221962,0.103517588,0.034749035,0.096453078,0.011520551,0.020194796,0.008832817,0.010840072,0.01064317,0.006933022,0.009571168,0.010541827,0.01249843,0.013611187,0,0,0.006421783,0.004323657,0,0,0.007899934,0.01618123,0.00405515,0,0.004186231,0,0.001526211,0.003390104,0.003741007,0,0.000631972,0.000103612,0.000153051,0.005482671,0,0,0,0,0,0.011945392,0.01343309,0.000781517,0.005766526,0.002480965,0,0,0,0,0,0,0.004564721,0,0,0.007640879,0,0,0.006644518,0.011299435,0,0.011422638,0,0,0.010188487,0,0.004945093,0.003140798,0.007125801,0.010273973,0.007237794,0.003966979,0.005183442,0.005502024,0.00452783,0.004377184,0,0.000314446,0.000850841,0.001775535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34156051,0.116731518,0,0.02173913,0.016509434,0.006660324,0.014285714,0,0.029411765,0,0.022162008,0.021641781,0.066168718,0.029999378,0.025853943,0.029849616,0.022395811,0.018493277,0.021583547,0.01974142,0,0,0,0,0.01369863,0,0.093711467,0,0,0,0.000517598,0,0,0,0,0.000305068,0,0,0,0,0,0.000282229,0.004690432,0,0.002807236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
